,sentence,entities
308,Deglacial paleoclimate of the American sector of the Southern Ocean : late glacial-Holocene records from the latitude of Canal Beagle (55 ° S -)Argentine Tierra del Fuego .,"(55 ° S -)Argentine Tierra,)"
309,Palaeoecological constraints on late Glacial and Holocene ice retreat in the Southern Andes (53 ° S) .,"(53 ° S,)"
310,"40 cm : Erl-4308, 813 ± 58 BP (672894 cal BP) 2 .","(813 ± 58 BP,)"
311,"130 cm : Erl-4309, 2080 ± 52 BP (19252278 cal BP) 3 .","(2080 ± 52,)"
312,"The results of a palynological study of a 13 m deep bore hole of lake deposits from the P ~ ramo de Agua Blanca, Colombian Eastern Cordillera (5 ° N ; elev .","(5 ° N,)"
313,"298 eoosI II VEOETAT 00 ° ELTS oIo ~ o Io Lo Io 0 I, ALTITUDE (M) Aquatic ISOETES .","(298 eoosI II,)"
314,doi :10.1016 / j.yqres .2010.08.007 126 E.A. Lynch et alQuaternary Research 75 (2011) 125137 in Higuera et al2007) .,"(alQuaternary Research 75 (,)"
315,"The climate is humid continental, with daily mean temperatures of − 12.5 ° C in January and 20 ° C in July (19712000 averages from weather stations in Ashland, Danbury, Drummond, Gordon, and Minong, WI ; Midwest Regional Climate Center, 2007) .","(20 ° C, Ashland)"
316,E.A. Lynch et alQuaternary Research 75 (2011) 125137 127 vegetation was dynamic and that the vegetation patterns observed in the PLS records at many sites were not stable over long time periods (Lynch et al2006 ; Hotchkiss et al2007a ; Tweiten et al2009) .,"(alQuaternary Research 75 (, Hotchkiss)"
317,peaks/500 yr Estimated FRI (yr) Lily 45.90 − 92.27 8.3 Lonestar 45.93 − 92.24 8.5 Ferry 46.01 − 92.12 6.4 Tomahawk Metzger Warner Elevenses 45.92 46.32 46.12 46.38 − 91.96 − 91.69 − 92.04 − 91.50 8.4 5.1 9.3 2.0 Camp Two 46.50 − 91.41 9.5 Sawdust 46.57 − 91.27 7.6 West Twin 46.68 − 91.06 6.1 13.4 12.2 11.0 11.0 8.8 7.6 7.6 11.9 11.0 15.8 Pineoakaspen Oakwhite pine Jack pinered pine Jack pinered pine Jack pine Jack pine Jack pine Red pine Red pinebirch Red pinebirch 1.18 0.88 0.30 0.31 0.06 0.22 0.16 0.65 0.09 0.49 0.64 0.35 0.42 0.09 0.14 0.43 6.68 6.49 4.17 4.61 0.73 1.10 1.12 6.55 5.87 2.68 2.98 3.87 4.55 0.94 1.26 5.74 5.74 6.96 5.95 6.29 3.17 4.52 5.86 8.04 6.84 5.40 6.29 5.2 6.24 5.79 5.69 9.56 88 72 85 79 156 111 85 62 73 93 79 96 80 86 88 52 128 E.A. Lynch et alQuaternary Research 75 (2011) 125137 Figure 2 .,"(alQuaternary Research 75 (,)"
318,130 E.A. Lynch et alQuaternary Research 75 (2011) 125137 Figure 3 (continued) .,"(alQuaternary Research 75 (,)"
319,"134 E.A. Lynch et alQuaternary Research 75 (2011) 125137 and Metzger, and ~ 40003500 cal yr BP in Elevenses .","(alQuaternary Research 75 (,)"
320,"The landscape The Semenic is situated in the county of CaraSeverin east of the town of Resita, at 22 ° 05 ' east and 4S009 ' north .","(22 ° 05 ' east,)"
321,spiea Poaceae GISP2 O -()- -40 -36 -32 5 Age (cal yr B.P. x 1000) 10 TP0 15 TP1 20 TQ6 25 TP2 TQ7 30 TP3 35 TQ8 TQ9 40 TP4 TQ10 45 TP5 TQ11 50 TQ12 55 60 TP6 YD 1 H1 2 3 4 5 6 7 8 9 10 11 12 13 H2 H3 H4 H5 14 15 16 17 H6 20 40 60 80 Percent 20 40 60 4 20 20 40 20 200 400 20 20 200 400 600 20 40 20 40 60 80 Macrofossils/100 ml sediment % dry mass QAP -()- Fig. 3 .,"(80 Percent 20,)"
322,IPRvoualymagenoxnnuelal-tayppoelygama-type Cluster A CONISS B C D E F G H 20 40 60 80 Percent 20 40 60 20 20 20 20 40 I J K 20 20 4 8 4 4 4 8 12 16 20 24 28 Total sum of squares Fig. 4 .,"(80 Percent 20 40 60 20 20 20 20 40,)"
323,"Ciudad Universitaria, CUX (Bogota) 4 ° 35 'N 74 ° 05 ' W 2560 Van der Hammen and Gonz ~ ilez, 1960a, b ; Van der Hammen and Gonz ~ ilez, 1963 2 .","(Universitaria, 4 ° 35 'N, 74 ° 05 ' W, Gonz, Gonz)"
325,"Cienaga del Visitador (Cordillera Oriental) 6 ° 08 'N 72 ° 47 ' W 3300 Van der Hammen and Gonz ~ lez, 1965 3 .","(6 ° 08 'N, 72 ° 47 ' W, Hammen, Gonz)"
327,"Naboba (Sierra Nevada de Santa Marta) 10 ° 42 'N 73 ° 45 ' W 4500 Van der Hammen, 1984 4 .","(10 ° 42 'N, 73 ° 45 ' W, Hammen)"
329,Valle de Lagunillas and Bocatoma Valley 6 ° 23 'N 72 ° 18 ' W 39004000 Gonz ~ ilezet al1966(- Sierra Nevada del Cocuy) Van der Hammen et al1980/81 5 .,"(6 ° 23 ', 72 ° 18 ' W, Gonz)"
331,"Mondofiedo (Mosquera) 4 ° 40 'N 74 ° 20 ' W ca. 2600 Van der Hammen, 1965 6 .","(Mondofiedo, 4 ° 40 'N 74 ° 20 ' W)"
332,"E1 Abra (Zipaquir ~ i) 5 ° 00 'N 73 ° 58 ' W 2570 Schreve-Brinkman, 1978 ; Van der Hammen, 1974 7 .","(73 ° 58 ' W,)"
333,"Laguna de Fuquene 5 ° 27 'N 73 ° 46 ' W 2580 Van Geel and Van der Hammen, 1973 ; Van der Hammen, 1974 Laguna de Palacio 5 ° 16 'N 73 ° 51 ' W 2580 Van Geel and Van der Hammen, 1973 8 .","(73 ° 51 ' W,)"
334,"Tequendama (Soacha) 4 ° 35 'N 74 ° 13 ' W 2566 Correal and Van der Hammen, 1977 ; Van der Hammen, 1992 9 .","(Tequendama, 4 ° 35 'N 74 ° 13 ' W, Van der Hammen, Van der)"
335,"Laguna Pedro Palo (Cordillera Oriental) 4 ° 30 'N 74 ° 23 ' W 2000 Hooghiemstra and Van der Hammen, 1993 ; Van der Hammen, 1974 10 .","(74 ° 23 ' W, Van der Hammen)"
336,Laguna Ciega (Sierra Nevada del Cocuy) 6 ° 30 'N 72 ° 25 ' W 3510 Van der Hammen et al1980/81 11 .,"(72 ° 25 ' W,)"
337,Boquillas (Lower Magdalena Valley) 9 ° 06 'N 74 ° 34 ' W ca. 30 unpublished 12 .,"(74 ° 34 ' W,)"
338,"Lake Otun (Cordillera Central) 4 ° 47 'N 75 ° 25 ' W 3930 Thouret and Van der Hammen, 1981, Salomons, 1986 ; Salomons, 1989 13 .","(4 ° 47 'N, 75 ° 25 ', Salomons)"
340,"Pico del Loro, Rio Recio 4 ° 52 'N 75 ° 27 ' W (Murillo, Tolima) 14 .","(4 ° 52 'N, 75 ° 27 ' W, Tolima)"
342,"E1 Billar (El Ruiz, Cordillera Central) 4 ° 54 'N 75 ° 41 ' W 3600 Melief, 1985 15 .","(4 ° 54 'N, 75 ° 41 ' W)"
344,"Lake Andabobos (Sumapaz) 4 ° 05 'N 74 ° 15 ' W 3750 Melief, 1985 16 .","(4 ° 05 ', 74 ° 15 ' W)"
346,"The 3700 and 2700 yr B.P. are separated by a Chenopodiaceae-Amaranthus maximum (Fig. 3) during which estimated temperatures reach 13.4 _ + 1.8 ° C, 3 ° C greater than the modern estimate .","(1.8 ° C,)"
347,"Site description Burnt Knob Lake (45 ° 42Ј16ЉN, 114 ° 59Ј12ЉW, elevation 2250 m) is located in a late-Pleistocene cirque basin in the Clearwater Range and lies within the SelwayBitterroot Wilderness Area (Fig. 1) .","(45 ° 42Ј16ЉN, 114 ° 59Ј12ЉW, the Clearwater Range)"
348,"(A) Percentages of selected pollen taxa, ﬁre frequency in episodes/1000 yr, and monthly insolation anomalies for 45 ° N latitude .","(45 ° N,)"
349,"Lost Trail Pass Bog (45 ° 41Ј42ЉN, 113 ° 56Ј54Љ W, elevation 2147 m) is located in a forest at the southern end of the Bitterroot Range dominated by Picea engelmannii, Abies bifolia, and Pinus contorta .","(45 ° 41Ј42ЉN, 113 ° 56Ј54Љ W,)"
350,"The record from Lost Trail Pass Bog covers the last ca. 15 000 cal yr B.P. Mary 's Frog Pond (46 ° 38Ј12Љ N, 114 ° 34Ј45Љ WЈ 2152 m) lies in an Abies bifolia and Pinus contorta forest located west of the Bitterroot crest .","(46 ° 38Ј12Љ N, 114 ° 34Ј45Љ WЈ,)"
351,"Cygnet Lake (44 ° 39Ј46Љ N, 110 ° 36Ј58Љ W, elevation 2530 m) in Yellowstone National Park is surrounded by Pinus contorta forest and covers the last ca. 17 000 cal yr B.P. .","(44 ° 39Ј46Љ N, 110 ° 36Ј58Љ W, Yellowstone National Park)"
352,DCA axes 1 and 2 had gradients with lengths of 1.72 and 1.17 and accounted for 23.65 % of the variation in the pollen data .,"(23.65 % of,)"
353,"Samples were taken from the central portion or deepest area within 376 TABLE II Lake site characteristics Lake Location Bellshill Chappice Eagle Gooseberry Keiver 52 ° 36 'N 111 ° 33 ' W 50 ° 10 'N 110 ° 23 ' W 51 ° 00 'N 113 ° 18 ' W 52 ° 08 'N 110 ° 45 ' W 51 ° 42 'N 113 ° 34 ' W Little Fish Lloyd 's Red Deer Twelve mile Coulee 51 ° 23 'N 112 ° 15 ' W 50 ° 53 'N 114 ° 10 ' W 52 ° 44 'N 113 ° 05 ' W 50 ° 08 'N 111 ° 55 ' W Vegetation formation based on Moss (1955 -)Bird and Hong (1975) Groveland Belt of the Aspen Parkland Short Grass Prairie Area (kin)- 2.2 1.4 Mixed Prairie 5.8 Mixed Grass Prairie Marginal Groveland Belt Marginal Mixed Grass and Aspen Parkland Groveland Belt Mixed Grass Prairie 2.4 0.7 5.2 Aspen Parkland 1.4 Aspen Parkland proper Short Grass Prairie 14.0 1.2 Water depth (m) 1.8 2.7 3.9 2.6 1.8 7.2 2.1 4.8 2.0 the lake basin, these two factors being normally coincidental .","(50 ° 10 'N, 51 ° 00 ', 113 ° 18 ' W, 52 ° 08 ', 110 ° 45 ' W, 51 ° 42 'N, 113 ° 34 ', 112 ° 15 ' W, 114 ° 10 ' W, 44 ')"
363,J. Ecol55 : 1728 .,"(J. Ecol55 : 1728,)"
364,E.B. Leopold et alQuaternary Research 85 (2016) 380e390 381 Figure 1 .,"(alQuaternary Research 85 (,)"
365,384 E.B. Leopold et alQuaternary Research 85 (2016) 380e390 Figure 3 .,"(alQuaternary Research 85 (,)"
366,385 386 E.B. Leopold et alQuaternary Research 85 (2016) 380e390 notable rise of Pinus (up to 25)- and Abies (up to 12)- .,"(alQuaternary Research 85 (,)"
367,"390 E.B. Leopold et alQuaternary Research 85 (2016) 380e390 Hansen, B.SEasterbrook, D.J1974 .","(alQuaternary Research 85 (, Hansen)"
368,48 ° UKRAINE 46 ° Black Sea > 2000 m a.s.l. 10002000 44 ° 4001000 200400 < 200 0 50 km 30 ° 900 Gutaiului Mts .,"(46 ° Black,)"
369,"13, 13 ^ 37 .","(13, 13 ^,)"
370,"We present high-resolution pollen and charcoal records from two small low-elevation lakes located in close proximity in the eastern slopes of the Patagonian Andes at the foreststeppe ecotone (Laguna Huala Hué, lat 41 ° 30 ′ 24 ″ S, long 71 ° 30 ′ 32 ″ W, 849 m elevation ; and Laguna Padre Laguna, lat 41 ° 21 ′ 34 ″ S, long 71 ° 30 ′ 29 ″ W, 1280 m elevation) .","(71 ° 30 ′ 32 ″ W, 71 ° 30 ′ 29 ″ W)"
372,Agedepth model for a) L. Huala Hué (41 ° 30 ′ S ; 71 ° 30 ′ W) and b) L. Padre Laguna (41 ° 21 ′ S ; 71 ° 30 ′ W) .,"(41 °, 30 ′ S, 71 ° 30 ′ W, 41 °, 71 ° 30 ′ W)"
377,"General site description The Palisades Site (65 ° 6Ј N, 153 ° 15Ј W) is located 55 km downstream from the village of Tanana, in the Nowitna 0033-5894/03see front matter © 2003 University of Washington .","(153 ° 15Ј W, Tanana)"
378,"In the subandean vegetation belt the average annual temperature is from 22 ° to 13 ° C, and the annual rainfall is mostly between 1200 and 3000 mm .","(13 ° C,)"
379,"The third column shows the corresponding estimated temperature at the elevation of Bogot ~ i, based on a lapse rate of 0.66 ° C per 100 m forest line displacement and an annual average temperature of 9.5 ° C at the upper forest line .","(0.66 ° C, 9.5 ° C)"
381,"Quaternary Research, 41, 91-98 .","(41, 91-,)"
382,"Acta Botunica Neerlandica, 18, 5 1l-527 .","(18, 5 1l-527,)"
383,"Indications of an environmental shift 112 D.P. Balch et alPalaeogeography, Palaeoclimatology, Palaeoecology 221 (2005) 99122 +2.5 C.beac AXIS 2 Group ` C ' Candona 1 Group ` A ' C.patz Cyclo.se L.cerio 11 P.unica 24 L.fri 12 Hetero 14 C.sal 21 22 15 23 8 16 13 17 20 23 L.stap C.vidua Group ` B0.5 -0.5 AXIS 1 +3.5 Fig. 5 .","(2 Group ` C ' Candona, 1 Group)"
386,"210 M. Wille et alPalaeogeography, Palaeoclimatology, Palaeoecology 193 (2003) 201 ^ 223 Table 2 Ages of 31 AMS 14C macrofossil samples from the 300 ^ 500-cm core interval of core laguna Las Margaritas used in the WMD procedure UtC number Depth (cm) Sample fraction N13C 14 C (yr BP) cal BP (2c) approximate date after WMD (cal BP) 10262 10263 10465 10535 10466 10536 10537 10655 10264 10265 10656 10266 10267 10268 10538 10539 10540 10467 10657 335 roots/seeds 362 roots/leaves 365 leaves 366 369/371 374 seeds/leaves seeds/leaves leaves 402 seeds 405 seeds 407 seeds 407 leaves 407 av .","(223 Table 2 Ages, Las Margaritas)"
387,LOI is 45 % at the bottom of the zone and decreases to 10 % towards the top .,"(45 %,)"
388,"40, 1 ^ 9 .","(40, 1 ^,)"
389,"27, 1 ^ 7 .","(27, 1 ^,)"
390,"The greatest concentration of Cervalces localities for the southern population is in the upper midwestern United States where fossils commonly occur in bog deposits (Faunmap Working Group, 1994) (Fig. 4) .","(United States, Faunmap Working Group, 1994)"
391,"ELSEVIER Palaeogeography, Palaeoclimatology, Palaeoecology 142 (1998) 1-21 PALAEO Tropical vegetational change in the late Pleistocene of New Caledonia Geoff HopeJohanna Pask Department of Archaeology and NaturalHistory, AustralianNational University, Canberra, ACT0200, Australia Received 27 November 1996 ; received in revised form 6 October 1997 ; accepted 23 October 1997 Abstract The south eastern plateau of New Caledonia (22 ° S) preserves remnants of a deep regolith of ultramafic soils which is extensively gullied or eroded to form large alluvial fans .","(Palaeogeography, Canberra, New Caledonia, 22 ° S)"
392,"Temperatures average 22-24 ° C, with a range between 10 and 30 ° C. From May to October, the south east trade winds provide a consistent wind with generally fine weather, although cold fronts associated with westerly winds can bring storms lasting several days .","(24 ° C, south east)"
393,"Results are : 4143 cm : Ua 51516, 291 ± 31 BP (460280 cal BP or AD 14901670) 6264 cm : Ua 50937, 751 ± 25 BP (730665 cal BP or AD 12201285) Correspondence : Spassimir Tonkov, Laboratory of Palynology, Department of Botany, Faculty of Biology, Soﬁa University ` St. Kliment Ohridski8 Dragan Tzankov blvdSoﬁa-1164, Bulgaria .","(751 ± 25 BP, Bulgaria)"
394,"252 S. Tonkov and G. Possnert 9294 cm : Ua 50938, 1289 ± 30 BP (12901170 cal BP or AD 660780) Interpretation The pollen sum (100)- includes all pollen grains except those of Cyperaceae, spores of mosses and pteridophytes .","(1289 ± 30 BP,)"
395,"Y. Liu et alQuaternary Research 79 (2013) 189198 191 sequences suggest cessation of sediment deposition starting in the late-glacial or early Holocene (Webb and Webb, 1988 ; Jackson and Whitehead, 1993 ; Jackson et al1997) .","(alQuaternary Research 79 (, Webb, Jackson, Whitehead)"
396,"We used probe rods to locate the deepest sediments, which were in the south-central part of the basin (36 ° 01 ′ 45 ″ N, 85 ° 30 ′ 04 ″ W ; 303 m elevation) .","(85 ° 30 ′ 04 ″ W,)"
397,"This site was on the southeast side of the basin, approximately 40 m from shore and 40 m from the center of the basin (37 ° 25 ′ 56 ″ N, 85 ° 43 ′ 27 ″ W ; 260 m elevation) .","(85 ° 43 ′ 27 ″ W,)"
398,"Y. Liu et alQuaternary Research 79 (2013) 189198 195 (Delcourt, 1979 ; Wilkins, 1985 ; Wilkins et al1991) .","(alQuaternary Research 79 (, Wilkins)"
399,- After decarbonization with HCI (-RSBI ; 20 ° C -)the samples were analyzed for carbon content (TOC) and isotope composition as described in Bottger rt a,"(20 ° C,)"
400,16 350 ' I 1 810k 100 1I 660 f 100 12850fll0 c. I5 600 ' 1 1 890 k 120 12 I l 0 k 8 0 1I 880 95 ll770 ~ 110 I I 550k 110 1 I 670 f90 I I 860 f 100 12 760 k 120 92 10 11 030 f 70 56 ' 81 54 ' 55 ' 87 62 ' I I 990 k 55 I 1 720 i50 ' If fossil carbonate is present and the equilibrium between theC level of the lake water and the atmosphere is not achieved .,"(54 ' 55 ' 87 62 ',)"
401,"1962 Journal of Biogeography 31, 19551973, ª 2004 Blackwell Publishing Ltd Arctic diatom biogeography Figure 6 Distribution of selected taxa in lakes of the Canadian Arctic .","(1962 Journal of Biogeography,)"
402,"35 ° 15 ′ 53 ″ N, long .","(35 ° 15 ′ 53 ″ N,)"
403,"106 ° 18 ′ 33 ″ E, elevation 2430 m above sea level) is located at the Liupan Mountains (with average elevations of 20002500 m) on the southwestern Loess Plateau (Fig. 1A -)in Zhuanglang County, Gansu Province .","(106 ° 18, the Liupan Mountains, Zhuanglang County, Gansu Province)"
404,"Picea asperata is usually found in the regions with MAT of 18 ° C and MAP of 450700 mm (Lu et al2008 -)however, it can stand cold climate with temperature of b − 30 ° C in winters (Li, 2007) .","(18 ° C,)"
405,"The following thermal cycling parameters were used : initial incubation at 95 ° C for 513 min, followed by 4048 cycles of 95 ° C for 3045 s, 5458 ° C for 3090 s, and 72 ° C for 45120 s, ending with a ﬁnal 35 m extension period at 72 ° C. Two products required reampliﬁcation for an additional 3033 cycles .","(95 ° C, 95 ° C)"
407,"Thirty accelerator mass spectrometry radiocarbon dates, biostratigraphy and tephra correlation reveal that a 119 m sediment core recovered from the Huiñaimarca sub-basin of Lake Titicaca (16.0 ° to 17.5 ° S, 68.5 ° to 70 ° W ; 3810 masl) contains sediments covering N 151 000 years .","(17.5 ° S, 68.5 ° to,)"
408,"Site description Lake Titicaca (16.0 ° to 17.5 ° S, 68.5 ° to 70 ° W ; Figs. 1 and 2) is today divided into two sub-basins : i) Lago Grande (or Chucuito -)with a maximum depth of 285 m and, ii) Huiñaimarca (or Wiñaymarka or Lago Menor -)with a maximum depth of 40 m .","(17.5 ° S, 68.5 ° to,)"
409,"Middle of ` high ' magnetic susceptibility zone (consistently N50 SI units) tied to low in insolation for January 15 ° S (Berger and Loutre, 1991) .","(15 ° S, Loutre)"
410,"Peak in Cheno/Am pollen tied to low in insolation for January 15 ° S (Berger and Loutre, 1991 -)duration of gap equivalent of dry zone indicated in Lago Grande during the peak of the interglacial by Cheno/Am pollen (Hanselman et al2005) .","(15 ° S, Loutre, Grande)"
411,"b) Total aquatics concentration, percentage abundance of aquatic taxa and percentage abundance of spores (calculated relative to the pollen sum) with insolation for January 15 ° S (Berger and Loutre, 1991) curves .","(15 ° S, Loutre)"
412,"Percentage abundance of aquatics and percentage abundance of spores (calculated relative to pollen sum) with insolation for January 15 ° S (Berger and Loutre, 1991) curves .","(15 ° S, Loutre)"
413,Comparison of concentration data from Huiñaimarca and Salar de Uyuni with solar insolation (15 ° S January) and palaeolake reconstruction (Placzek et al2006b -)alternative radiocarbon timing for Ouki lake cycle shown in grey .,"(15 ° S January,)"
414,The peak abundance of Polylepis/Acaena pollen in Salar de Uyuni is coincident with the Minchin wet phase (maximum 26mean 10)- when insolation (January 15 ° S) is at a relative high (Fig. 7) .,"(15 ° S,)"
415,Lake Level chronology on the southern Bolivian Altiplano (1823 ° S) during Late-glacial time and the early Holocene .,"(1823 ° S,)"
416,"Journal of Ecology 2000, 88, 45 ± 53 A buried spruce forest provides evidence at the stand and landscape scale for the e $ ects of environment on vegetation at the Pleistocene/Holocene boundary KURT S. PREGITZERDAVID D. REEDTHEODORE J. BORNHORST -LCBDAVID R. FOSTER -LCBGLENN D. MROZJASON S. MCLACHLANx, PETER E. LAKSDOUGLAS D. STOKKE -LCBPATRICK E. MARTINand SHANNON E. BROWNSchool of Forestry & Wood ProductsLCB- Department of Geological Engineering and SciencesDepartment of Social Sciences, Michigan Technological University, Houghton, MI 49931, USALCB- Harvard Forest, Petersham, MA 01366, USA ; xDepartment of Botany, Duke University, Durham, NC 27708, USA ; and -LCB- USDA Forest Service, North-eastern Forest Experiment Station, Department of Forestry, Iowa State University, Ames, IA 50011, USA Summary 1 Due to a unique set of circumstances, we were able to excavate an entire spruce (Picea) forest in Michigan 's Upper Peninsula, USA, which was buried in the early Holocene (9928 P 133 uncalibrated 14C years BP) .","(45 ± 53, Michigan Technological University, Houghton, Harvard Forest, Petersham, USA, Durham, Ames, Michigan, Upper Peninsula, USA)"
417,"46 Buried spruce forest # 2000 British Ecological Society Journal of Ecology, 88, 45 ± 53 Introduction Historical records of past climate and biotic change are often used to predict the Earth 's future .","(45 ± 53 Introduction, Earth)"
418,"# 2000 British Ecological Society Journal of Ecology, 88, 45 ± 53 were located and their diameters were measured in the ® eld, but the rapidly ¯ ooding site prevented the collection of every tree discovered .","(45 ± 53,)"
419,"Wellpreserved cones, twigs and needles suggested that # 2000 British Ecological Society Journal of Ecology, 88, 45 ± 53 Table 1 Uncalibrated and calibrated 14C dates from the outer 20 rings of four di $ erent tree cross-sections identi ® ed as Picea .","(45 ± 53 Table 1,)"
420,"The diameters of the two trees used to estimate height (26.0 and 40.2 cm) suggested they would fall within the dominant or codominant crown classes (Fig. 3a -)imply2000 British Ecological Society Journal of Ecology, 88, 45 ± 53 Fig. 3 Tree size and age-class distributions .","(45 ± 53,)"
421,"Additional pol2000 British Ecological Society Journal of Ecology, 88, 45 ± 53 Fig. 4 Ring-width chronologies (125 years) for the 18 oldest spruce trees from the Gribben buried forest .","(45 ± 53,)"
422,"# 2000 British Ecological Society Journal of Ecology, 88, 45 ± 53 len and spores for taxa represented at 1 % or less included Cupressaceae, Corylus, Carya, Ostrya - Carpinus, Shepherdia, Chenopodiaceae, Tubuli ¯ orae, Ambrosia, Pteridium, Rumex, Rosaceae, Sarcobatus, Sphagnum, Monlete spores, Trilete spores, Lycopodium, Dennstaedtia, Lycopodium annotinum, and L. complanatum .","(45 ± 53 len, Carya, Shepherdia, Ambrosia, Pteridium, Rumex)"
423,"American Midland Naturalist, 137, 62 ± 71 .","(62 ± 71 .,)"
424,1999 Elsevier Science Ltd. .,"(1999 Elsevier Science Ltd.,)"
425,"Organic Fraction for All Samples Y-2572 Y-2573 Y-2574 Y-2575 Y-2576 320-330 565-575 740-750 935-945 1160-1170 2830 + 100 4490 f 120 6850 f 140 9080 + 160 12 720 i : 200 -29.0 -27.2 -27.9 - 28.6 - 28.9 Queechy Lake, New York (42 ' 24.5 ’N lat, 73 ' 25 ' W long) .","(New York, 42 ' 24.5 ’, 73 ' 25 ')"
427,"All Samples Organic Fraction of Copropel (Gyttja) Y-1915 Y-1916 Y-1917 Y-1918 Y-1920 Y-1921 97-l 01 198-202 398-402 598-602 1249-1253 1468-1472 1110 * 80 1430 f 100 2970 + 80 4290 f 100 8880 f 160 10 420 f 120 -24.3 - 24.5 -21.5 - 21.8 -19.7 - 29.6 Horseshoe Lake, Minnesota (45 ' 27 ’N lat, 92 ' 03 ' W long) .","(Minnesota, 45 ' 27 ’, 92 ' 03 ' W)"
429,"MacDonald GM, Ritchie JC .","(MacDonald GM, Ritchie,)"
430,"MacDonald GM, Gajewski K. 1992 .","(MacDonald GM, Gajewski,)"
431,"MacDonald GM, Edwards TWD, Moser KA, Pienitz R, Smol JP .","(MacDonald GM, Edwards,)"
432,"MacDonald GM, Szeicz JM, Claricoates J, Dale KA .","(MacDonald GM, Szeicz,)"
433,"= l o I = Teledyne isotopes Depth of Volcanic ash in sediment (cm) ca. 32Om Lat 49 ' 29.5 ' N Long 121 ° 26 ' W 2.55 9.50 clay-gyt tja 450-460 clay-gettja 665-675 11 000f170 (1-5346) 11 430 & 150 (1-6057) 386-388 436-438 ca. 205 rn Lat 49 ' 29 ' N Long 121 ' 24.3 ' W 11.30 clay-gyttja 655-665 11 140f 260 (1-6058) 408-410 .5 Borden (1965, 1968) regarding the mode of formation and chronology of the artifact-bearing South Yale terraces .","(121 ° 26 ' W, N Long 121 ' 24.3 ' W, South Yale)"
435,"Mire Gyola, Belasitsa Mountain (south-western Bulgaria) SPASSIMIR TONKOV1 & GÖRAN POSSNERT2 1Laboratory of Palynology, Department of Botany, Faculty of Biology, Soﬁa University ` St Kliment OhridskiSoﬁa, Bulgaria, 2Ångström Laboratory, Uppsala University, Uppsala, Sweden Site details Mire Gyola (41 ° 21 ′ 17.12 ″ N, 23 ° 07 ′ 31.31 ″ E ; 714 m above sea level (a.s.l.)) is situated on the northern slopes of the Belasitsa Mountain (2029 m) in south-western Bulgaria .","(Belasitsa Mountain, Bulgaria, St Kliment OhridskiSoﬁa, Bulgaria, Uppsala University, Uppsala, Sweden, 23 °, the Belasitsa Mountain, Bulgaria)"
436,"Results are : 3035 cm : UA 43943, 507 ± 30 BP (630500 cal BP or AD 13201450) 120126 cm : UA 41527, 1474 ± 30 BP (14101300 cal BP or AD 540650) 148153 cm : UA 43944, 3277 ± 30 BP (35803410 cal BP or 16301460 BC) 190195 cm : UA 48424, 6954 ± 51 BP (79307680 cal BP or 59805730 BC) Correspondence : Spassimir Tonkov, Laboratory of Palynology, Department of Botany, Faculty of Biology, Soﬁa University ` St Kliment Ohridski8 Dragan Tzankov blvdSoﬁa-1164, Bulgaria .","(507 ± 30 BP, 3277 ± 30 BP, Bulgaria)"
438,"Palaeogeography, Palaeoclimatology, Palaeoecology 254 (2007) 492507 www.elsevier.com/locate/palaeo Vegetation and fire history during the last 18 000 cal yr B.P. in Southern Patagonia : Mallín Pollux, Coyhaique, Province Aisén (45 ° 41 ′ 30 ″ S, 71 ° 50 ′ 30 ″ W, 640 m elevation) Vera Markgraf aCathy Whitlock b, Simon Haberle c a Institute of Arctic and Alpine Research, University of Colorado, Boulder CO 80309, United States b Department of Earth Sciences, Montana State University, Bozeman, MT 59717, United States c Research School of Pacific and Asian Studies, Australian National University, Canberra, ACT 0200, Australia Received 6 February 2007 ; received in revised form 6 July 2007 ; accepted 14 July 2007 Abstract To better understand the climate, vegetation and fire history of southern South America since the last deglaciation, sediment characteristics, diatoms, pollen, microscopic and macroscopic charcoal and magnetic susceptibility were analyzed in a 14-m long sediment core from a closed basin fen at Lago Pollux, Aisén Province, southern Chile (45 ° 41 ′ 30 ″ S lat, 71 ° 50 ′ 30 ″ W long, 640 m elev)-","(Palaeogeography, Patagonia, Coyhaique, 45 ° 41 ′ 30 ″ S, 71 ° 50 ′ 30 ″ W, Vera Markgraf, Simon Haberle, United States, Montana State University, Bozeman, United States, Australian National University, Canberra, South America, Aisén Province, Chile, 45 ° 41 ′ 30 ″ S lat, 71 °)"
440,"Based on analysis of pollen, diatoms, charcoal, and sediment magnetism in sediment cores, we present the history of vegetation, fire, hydrologic changes and climate from a fen (Mallín Pollux, 45 ° 41 ′ 30 ″ S, 71 ° 50 ′ 30 ″ W, 640 m elev)-","(45 ° 41 ′ 30 ″ S, 71 ° 50 ′ 30 ″ W,)"
441,The extrapolated basal age is ca 20 000 cal yr BP and thereby represents the longest continuous paleoenvironmental record south of latitude 42 ° S in South America .,"(42 ° S, South America)"
442,"The climate in this region is perhumid, with low seasonality and a strong west-to-east precipitation gradient, ranging from 3000 mm mean annual precipitation at the coast to the west (Puerto Aisén, 45 ° 24 ′ S, 72 ° 42 ′ W, 10 m elev)-","(45 ° 24 ′ S, 72 ° 42 ′ W,)"
443,45 ° 34 ′ S ; long .,"(45 ° 34 ′ S,)"
